"Marca de temps","Quel âge avez-vous ?","Vivez-vous en colocation ?","Avec combien de colocataires vivez-vous ?","Quel type d’animaux vivent chez vous ?","Quel type de relation entretenez-vous avec vos colocataires?","Êtes-vous satisfait de la propreté de la maison?","Sous-traitez-vous les tâches de la maison?","Comment faites-vous pour planifier vos tâches de la maison ?","À quelle fréquence effectuez-vous une rotation des tâches de la maison?","De quel type de tâches êtes-vous responsable?","Comment gérez-vous les dépenses partagées? (papier toilette, produits de nettoyage, etc.)","Vous préférez nettoyer en solitaire à plusieurs ?","Souhaitez-vous utiliser une application pour gérer les tâches de la maison?","Quelle est la probabilité que vous utilisiez ces fonctionnalités? [Configuration des tâches / équipes / règles de la maison]","Quelle est la probabilité que vous utilisiez ces fonctionnalités? [Suivi des dépenses communes]","Quelle est la probabilité que vous utilisiez ces fonctionnalités? [Recevoir les rapports de contribution de chaque colocataire]","Quelle est la probabilité que vous utilisiez ces fonctionnalités? [Recevoir des notifications / consulter le calendrier des tâches]","Quelle est la probabilité que vous utilisiez ces fonctionnalités? [Gérer la liste de courses pour les produits ménagers]"
"2021/01/18 10:34:15 p. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/18 10:40:21 p. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/18 10:41:59 p. m. CET","Plus de 37 ans","Non","","","","","","","","","","","","","","","",""
"2021/01/18 10:50:24 p. m. CET","31–37","Oui","2","Chats","Conaissances","2","Non","Nous ne planifions pas nos tâches","Une fois par semaine","Nettoyage des toilettes et salle de bains;Nettoyage du salon;Nettoyage de la cuisine;Nettoyage des vitres;Jeter les ordures;Lessive;Achat des produits communs","On n'y pense pas vraiment","En solitaire","Oui","Probable","Probable","Probable","Probable","Probable"
"2021/01/18 10:51:07 p. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/18 11:00:38 p. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/18 11:10:04 p. m. CET","18–24","Non","","","","","","","","","","","","","","","",""
"2021/01/18 11:30:24 p. m. CET","25–30","Oui","4","Pas d’animaux","Conaissances","3","Non","Le tableau sur la porte du réfrigérateur","Une fois par semaine","on alterne les pièces communes chaque semaine ","Répartir le coût","En solitaire","Non","","","","",""
"2021/01/18 11:49:57 p. m. CET","25–30","Oui","2","Chats","Amie.e.s, famille","3","Non","Nous ne planifions pas nos tâches","Jamais","ça dépend de ce dont nous avons besoin","On n'y pense pas vraiment","En solitaire","Non","","","","",""
"2021/01/19 12:38:18 a. m. CET","18–24","Non","","","","","","","","","","","","","","","",""
"2021/01/19 1:21:57 a. m. CET","31–37","Non","","","","","","","","","","","","","","","",""
"2021/01/19 2:59:36 a. m. CET","Plus de 37 ans","Oui","2","Chats","Amie.e.s, famille","5","Non","Nous ne planifions pas nos tâches","Jamais","Nettoyage des toilettes et salle de bains;Nettoyage du salon;Nettoyage de la cuisine;Nettoyage des vitres;Jeter les ordures;Lessive;Achat des produits communs","On n'y pense pas vraiment","En solitaire","Non","","","","",""
"2021/01/19 7:18:13 a. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/19 9:14:15 a. m. CET","31–37","Non","","","","","","","","","","","","","","","",""
"2021/01/19 9:25:25 a. m. CET","18–24","Non","","","","","","","","","","","","","","","",""
"2021/01/19 10:32:27 a. m. CET","Plus de 37 ans","Non","","","","","","","","","","","","","","","",""
"2021/01/19 11:01:49 a. m. CET","25–30","Oui","2","Chats","Amie.e.s, famille","4","Non","On fait naturellement au fur et à mesure ce qu'il y a à faire","Jamais","Nettoyage de la cuisine;Lessive;Achat des produits communs;On partage à peu près toutes les tâches ","On n'y pense pas vraiment","En solitaire","Non","","","","",""
"2021/01/19 11:04:32 a. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/19 2:06:40 p. m. CET","Plus de 37 ans","Non","","","","","","","","","","","","","","","",""
"2021/01/19 2:36:11 p. m. CET","18–24","Non","","","","","","","","","","","","","","","",""
"2021/01/19 3:13:07 p. m. CET","31–37","Oui","3","Chats","Amie.e.s, famille","3","Non","Nous ne planifions pas nos tâches","Jamais","Nettoyage des toilettes et salle de bains;Nettoyage du salon;Nettoyage de la cuisine;Nettoyage des vitres;Jeter les ordures;Lessive;Achat des produits communs","À tour de rôle","En solitaire","Oui","Neutre","Probable","Probable","Très probable","Peu probable"
"2021/01/19 6:04:27 p. m. CET","25–30","Non","","","","","","","","","","","","","","","",""
"2021/01/20 12:50:28 a. m. CET","25–30","Oui","4","Pas d’animaux","Conaissances","3","Non","Nous ne planifions pas nos tâches","Jamais","Nettoyage de la cuisine;Achat des produits communs","Répartir le coût","En solitaire","Non","","","","",""
"2021/01/20 2:11:46 a. m. CET","25–30","Oui","3","Pas d’animaux","Des gens que j'ai rencontré sur un application","3","Oui","","","","","","","","","","",""
"2021/01/20 3:25:06 p. m. CET","25–30","Oui","5","Pas d’animaux","Amie.e.s, famille","5","Oui","","","","","","","","","","",""